"NEUQUÉN","136","580124107","AD 866 AO","8CB2STZZZKB000183","REPARACIÓN DE AUTOS Y MOTOS"
"NEUQUÉN ","123","A SOLICICTAR ","AB 017 ZJ","8CB2STZZZHB000023","SOLDADURA"
"RÍO NEGRO","50","620107401","ODN 388","8CB2SUZZZEB000016","REFRIGERACIÓN Y CLIMATIZACIÓN"
"RÍO NEGRO","70","620107404","AA 841 ZQ","8CB2STZZZGB000389","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"RÍO NEGRO","86","620107402","AA 665 UY","8CB2STZZZGB000347","GASTRONOMÍA"
"RÍO NEGRO","105","620107403","AA 841 ZT","8CB2STZZZGB000395","SOLDADURA"
"RÍO NEGRO","120","620107405","AB 017 ZH","8CB2STZZZHB000017","REPARACIÓN DE AUTOS Y MOTOS"
"RÍO NEGRO","130","620107407","AB 831 XD","8CB2STZZZHB000348","METALMECÁNICA"
"RÍO NEGRO","143","620107406","AD 968 ZK","8CB2STZZZKB000250","GASTRONOMÍA"
"SALTA","43","660160502","OEA 944","8CB2STZZZEB000222","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"SALTA","52","660160503","OEN 882","8CB2STZZZEB000009","REFRIGERACIÓN Y CLIMATIZACIÓN"
"SALTA","98","660160505","AA 841 ZU","8CB2STZZZGB000391","REPARACIÓN DE AUTOS Y MOTOS"
"SALTA","112","660160504","OXY 795","8CB2STZZZFB000197","SOLDADURA"
"SALTA","17 (TRAILLER  )","660160501","SIN DOMINIO","","INSTALACIONES DOMICILIARIAS"
"SALTA ","164","A SOLICICTAR ","AE 069 UE","8CB2STZZZKB000281","SISTEMAS TECNOLOGICOS"
